target,hour_index,Time (UTC)
Price,456185,2022-01-15 17:00:00+00:00
Price,456186,2022-01-15 18:00:00+00:00
Price,456187,2022-01-15 19:00:00+00:00
Price,456188,2022-01-15 20:00:00+00:00
CF_Wind,456189,2022-01-15 21:00:00+00:00
CF_Wind,456190,2022-01-15 22:00:00+00:00
CF_Wind,456191,2022-01-15 23:00:00+00:00
n_targets,456191,2022-01-15 23:00:00+00:00
CF_Wind,456192,2022-01-16 00:00:00+00:00
n_targets,456192,2022-01-16 00:00:00+00:00
CF_Wind,456193,2022-01-16 01:00:00+00:00
n_targets,456193,2022-01-16 01:00:00+00:00
CF_Wind,456194,2022-01-16 02:00:00+00:00
n_targets,456194,2022-01-16 02:00:00+00:00
CF_Wind,456195,2022-01-16 03:00:00+00:00
n_targets,456195,2022-01-16 03:00:00+00:00
CF_Wind,456196,2022-01-16 04:00:00+00:00
n_targets,456196,2022-01-16 04:00:00+00:00
CF_Wind,456197,2022-01-16 05:00:00+00:00
n_targets,456197,2022-01-16 05:00:00+00:00
CF_Wind,456198,2022-01-16 06:00:00+00:00
n_targets,456198,2022-01-16 06:00:00+00:00
CF_Wind,456202,2022-01-16 10:00:00+00:00
n_targets,456202,2022-01-16 10:00:00+00:00
CF_Wind,456203,2022-01-16 11:00:00+00:00
n_targets,456203,2022-01-16 11:00:00+00:00
CF_Wind,456204,2022-01-16 12:00:00+00:00
n_targets,456204,2022-01-16 12:00:00+00:00
CF_Wind,456205,2022-01-16 13:00:00+00:00
n_targets,456205,2022-01-16 13:00:00+00:00
CF_Solar,456211,2022-01-16 19:00:00+00:00
n_targets,456211,2022-01-16 19:00:00+00:00
CF_Solar,456212,2022-01-16 20:00:00+00:00
n_targets,456212,2022-01-16 20:00:00+00:00
CF_Solar,456213,2022-01-16 21:00:00+00:00
n_targets,456213,2022-01-16 21:00:00+00:00
Load_MW,456219,2022-01-17 03:00:00+00:00
n_targets,456219,2022-01-17 03:00:00+00:00
CF_Solar,456224,2022-01-17 08:00:00+00:00
CF_Solar,456225,2022-01-17 09:00:00+00:00
CF_Wind,456225,2022-01-17 09:00:00+00:00
CF_Solar,456226,2022-01-17 10:00:00+00:00
CF_Wind,456226,2022-01-17 10:00:00+00:00
CF_Solar,456227,2022-01-17 11:00:00+00:00
CF_Wind,456227,2022-01-17 11:00:00+00:00
CF_Wind,456228,2022-01-17 12:00:00+00:00
CF_Wind,456229,2022-01-17 13:00:00+00:00
CF_Wind,456230,2022-01-17 14:00:00+00:00
CF_Solar,456231,2022-01-17 15:00:00+00:00
CF_Wind,456231,2022-01-17 15:00:00+00:00
CF_Solar,456232,2022-01-17 16:00:00+00:00
CF_Wind,456232,2022-01-17 16:00:00+00:00
CF_Solar,456233,2022-01-17 17:00:00+00:00
CF_Wind,456233,2022-01-17 17:00:00+00:00
CF_Solar,456234,2022-01-17 18:00:00+00:00
CF_Wind,456234,2022-01-17 18:00:00+00:00
CF_Solar,456235,2022-01-17 19:00:00+00:00
CF_Wind,456235,2022-01-17 19:00:00+00:00
CF_Solar,456236,2022-01-17 20:00:00+00:00
CF_Wind,456236,2022-01-17 20:00:00+00:00
CF_Solar,456237,2022-01-17 21:00:00+00:00
CF_Wind,456237,2022-01-17 21:00:00+00:00
Price,456248,2022-01-18 08:00:00+00:00
CF_Solar,456249,2022-01-18 09:00:00+00:00
Load_MW,456249,2022-01-18 09:00:00+00:00
Price,456249,2022-01-18 09:00:00+00:00
CF_Solar,456250,2022-01-18 10:00:00+00:00
CF_Wind,456250,2022-01-18 10:00:00+00:00
Load_MW,456250,2022-01-18 10:00:00+00:00
Price,456250,2022-01-18 10:00:00+00:00
CF_Solar,456251,2022-01-18 11:00:00+00:00
CF_Wind,456251,2022-01-18 11:00:00+00:00
Load_MW,456251,2022-01-18 11:00:00+00:00
Price,456251,2022-01-18 11:00:00+00:00
CF_Solar,456252,2022-01-18 12:00:00+00:00
CF_Wind,456252,2022-01-18 12:00:00+00:00
Load_MW,456252,2022-01-18 12:00:00+00:00
Price,456252,2022-01-18 12:00:00+00:00
CF_Solar,456253,2022-01-18 13:00:00+00:00
CF_Wind,456253,2022-01-18 13:00:00+00:00
Load_MW,456253,2022-01-18 13:00:00+00:00
Price,456253,2022-01-18 13:00:00+00:00
CF_Solar,456254,2022-01-18 14:00:00+00:00
CF_Wind,456254,2022-01-18 14:00:00+00:00
Load_MW,456254,2022-01-18 14:00:00+00:00
Price,456254,2022-01-18 14:00:00+00:00
CF_Solar,456255,2022-01-18 15:00:00+00:00
Load_MW,456255,2022-01-18 15:00:00+00:00
Price,456255,2022-01-18 15:00:00+00:00
CF_Solar,456256,2022-01-18 16:00:00+00:00
Load_MW,456256,2022-01-18 16:00:00+00:00
Price,456256,2022-01-18 16:00:00+00:00
CF_Solar,456257,2022-01-18 17:00:00+00:00
Load_MW,456257,2022-01-18 17:00:00+00:00
Price,456257,2022-01-18 17:00:00+00:00
CF_Solar,456258,2022-01-18 18:00:00+00:00
Load_MW,456258,2022-01-18 18:00:00+00:00
Price,456258,2022-01-18 18:00:00+00:00
Load_MW,456259,2022-01-18 19:00:00+00:00
Price,456259,2022-01-18 19:00:00+00:00
Load_MW,456260,2022-01-18 20:00:00+00:00
Price,456260,2022-01-18 20:00:00+00:00
Load_MW,456261,2022-01-18 21:00:00+00:00
Price,456261,2022-01-18 21:00:00+00:00
CF_Wind,456270,2022-01-19 06:00:00+00:00
CF_Wind,456271,2022-01-19 07:00:00+00:00
CF_Wind,456272,2022-01-19 08:00:00+00:00
Price,456272,2022-01-19 08:00:00+00:00
Load_MW,456278,2022-01-19 14:00:00+00:00
n_targets,456278,2022-01-19 14:00:00+00:00
Load_MW,456279,2022-01-19 15:00:00+00:00
CF_Wind,456286,2022-01-19 22:00:00+00:00
n_targets,456286,2022-01-19 22:00:00+00:00
CF_Wind,456301,2022-01-20 13:00:00+00:00
n_targets,456301,2022-01-20 13:00:00+00:00
n_targets,456302,2022-01-20 14:00:00+00:00
n_targets,456303,2022-01-20 15:00:00+00:00
CF_Solar,456304,2022-01-20 16:00:00+00:00
n_targets,456304,2022-01-20 16:00:00+00:00
CF_Solar,456305,2022-01-20 17:00:00+00:00
n_targets,456305,2022-01-20 17:00:00+00:00
CF_Solar,456306,2022-01-20 18:00:00+00:00
n_targets,456306,2022-01-20 18:00:00+00:00
CF_Solar,456307,2022-01-20 19:00:00+00:00
n_targets,456307,2022-01-20 19:00:00+00:00
CF_Solar,456308,2022-01-20 20:00:00+00:00
n_targets,456308,2022-01-20 20:00:00+00:00
CF_Solar,456309,2022-01-20 21:00:00+00:00
n_targets,456309,2022-01-20 21:00:00+00:00
CF_Solar,456310,2022-01-20 22:00:00+00:00
n_targets,456310,2022-01-20 22:00:00+00:00
CF_Solar,456320,2022-01-21 08:00:00+00:00
CF_Wind,456322,2022-01-21 10:00:00+00:00
