Time (UTC),CF_Solar_true,CF_Solar_pred,CF_Solar_resid,CF_Solar_abs,CF_Wind_true,CF_Wind_pred,CF_Wind_resid,CF_Wind_abs,Load_MW_true,Load_MW_pred,Load_MW_resid,Load_MW_abs,Price_true,Price_pred,Price_resid,Price_abs,bucket,CF_Solar_thr,CF_Solar_anom,CF_Wind_thr,CF_Wind_anom,Load_MW_thr,Load_MW_anom,Price_thr,Price_anom,combined_score,anomaly_score,n_targets_anom,any_anomaly_flag
2022-11-10 15:00:00,0.0088,0.14130381123159746,-0.13250381123159746,0.13250381123159746,0.1314285714285714,0.27775400420038165,-0.14632543277181026,0.14632543277181026,8523.0,5656.985689382561,2866.014310617439,2866.014310617439,200.5875,90.2047803279708,110.38271967202921,110.38271967202921,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,0,0.012664044915990269,0.012664044915990269,1,1
2022-11-10 16:00:00,0.0,0.12043533956574924,-0.12043533956574924,0.12043533956574924,0.1682857142857143,0.26842035208773024,-0.10013463780201595,0.10013463780201595,8804.0,5599.022974733944,3204.9770252660564,3204.9770252660564,225.0275,90.02500618144894,135.00249381855105,135.00249381855105,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,1,0.1490545380724193,0.1490545380724193,2,1
2022-11-10 17:00:00,0.0,0.10879873098698013,-0.10879873098698013,0.10879873098698013,0.2222857142857142,0.24005583274090814,-0.01777011845519394,0.01777011845519394,8660.0,5666.052211654157,2993.947788345843,2993.947788345843,213.1225,89.51207124182181,123.61042875817819,123.61042875817819,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,0,0.05786745948257854,0.05786745948257854,1,1
2022-11-10 18:00:00,0.0,0.10291671827532961,-0.10291671827532961,0.10291671827532961,0.2445714285714285,0.2480808023828271,-0.0035093738113985973,0.0035093738113985973,8261.0,5690.912613797377,2570.087386202623,2570.087386202623,213.93,88.91581799045089,125.01418200954912,125.01418200954912,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 19:00:00,0.0,0.08651529556264778,-0.08651529556264778,0.08651529556264778,0.246,0.23423099286831978,0.01176900713168022,0.01176900713168022,7708.0,5379.262190057674,2328.737809942326,2328.737809942326,194.3125,86.1030847261244,108.2094152738756,108.2094152738756,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 20:00:00,0.0,0.08323453199800841,-0.08323453199800841,0.08323453199800841,0.23,0.24630404540871664,-0.016304045408716633,0.016304045408716633,7140.0,5547.37275028117,1592.6272497188302,1592.6272497188302,174.06,85.94106472282665,88.11893527717335,88.11893527717335,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 21:00:00,0.0,0.07153384556805482,-0.07153384556805482,0.07153384556805482,0.1822857142857142,0.22402068383608875,-0.04173496955037456,0.04173496955037456,6897.0,5001.978106785394,1895.0218932146063,1895.0218932146063,176.285,82.09398667594647,94.19101332405353,94.19101332405353,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 22:00:00,0.0,0.06986132491966286,-0.06986132491966286,0.06986132491966286,0.1277142857142857,0.23466282850152193,-0.10694854278723623,0.10694854278723623,6434.0,4538.773151428521,1895.2268485714794,1895.2268485714794,154.175,76.67390425841998,77.50109574158003,77.50109574158003,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 23:00:00,0.0,0.04142348475893817,-0.04142348475893817,0.04142348475893817,0.1325714285714285,0.21505992166712143,-0.08248849309569292,0.08248849309569292,6131.0,4951.443800173679,1179.556199826321,1179.556199826321,155.495,78.07077190077165,77.42422809922836,77.42422809922836,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-11 00:00:00,0.0,0.0350036565371766,-0.0350036565371766,0.0350036565371766,0.1005714285714285,0.2435466905684718,-0.1429752619970433,0.1429752619970433,5882.0,4482.659781011962,1399.340218988038,1399.340218988038,141.3,72.86855546340627,68.43144453659374,68.43144453659374,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-11 01:00:00,0.0,0.01814359517191905,-0.01814359517191905,0.01814359517191905,0.074,0.24334466854864026,-0.16934466854864028,0.16934466854864028,5790.0,5089.6696024211915,700.3303975788085,700.3303975788085,147.375,76.81648456377836,70.55851543622164,70.55851543622164,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-11 02:00:00,0.0,0.019508600836595887,-0.019508600836595887,0.019508600836595887,0.0548571428571428,0.25127788393169104,-0.19642074107454824,0.19642074107454824,5735.0,4466.97933478346,1268.0206652165398,1268.0206652165398,146.69,72.87716594217822,73.81283405782177,73.81283405782177,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
